;time_in_ms;TransGroundSpeed;LonGroundSpeed;RPMOrder;AzimuthOrder;CourseTrue;x;y
1847141;1540296289409;0.28;8.17;64.425774;-5.1281620000000006;121.81;198.05476616835816;1054.005929342967
1847142;1540296290409;0.27;8.15;64.70587900000001;-5.123169;122.84;200.19587444452938;1052.6571330255915
1847143;1540296291409;0.29;8.14;64.70587900000001;-5.123169;123.88;202.30447348490878;1051.2872096436888
1847144;1540296292409;0.35;8.1;64.70587900000001;-5.130659;125.35;204.37906286319898;1049.8650245739373
1847145;1540296293409;0.32;8.07;64.425774;-5.118176;126.46;206.40463831704804;1048.4094809798758
1847146;1540296294409;0.28;8.06;64.425774;-5.133156;127.59;208.39770453510528;1046.9094593541909
1847147;1540296295409;0.21;8.08;64.425774;-5.1281620000000006;128.51;210.37126521182955;1045.3849748105201
1847148;1540296296409;0.28;8.07;64.70587900000001;-5.135653;130.18;212.3008133848671;1043.8071166296916
1847149;1540296297409;0.33;8.1;64.70587900000001;-5.133156;131.65;214.19285090144731;1042.1714370065674
1847150;1540296298409;0.33;8.09;64.70587900000001;-5.1281620000000006;132.97;216.04637747722384;1040.4890554524113
1847151;1540296299409;0.29;8.1;64.70587900000001;-5.125666000000002;134.05;217.86339368062283;1038.7722034191054
1847152;1540296300409;0.28;8.17;64.70587900000001;-4.838549;135.23;219.65840363204518;1037.013097258325
1847153;1540296301409;0.27;8.19;64.425774;-5.1281620000000006;136.27;221.42640591091418;1035.2061772100928
1847154;1540296302409;0.26;8.19;64.70587900000001;-4.836052;137.36;223.16790065926978;1033.365898643081
1847155;1540296303409;0.35;8.17;64.70587900000001;-5.125666000000002;139.11;224.85137892513336;1031.486701794942
1847156;1540296304409;0.3;8.14;64.425774;-5.123169;139.95;226.4888441191506;1029.576370326642
1847157;1540296305409;0.22;8.17;64.425774;-4.8335550000000005;140.68;228.10180235108055;1027.6460237423337
1847158;1540296306409;0.25;8.16;64.14565999999999;-4.828562000000002;142.18;229.68725276788416;1025.6800947319364
1847159;1540296307409;0.31;8.16;64.14565999999999;-4.8335550000000005;144.0;231.19868215585294;1023.6641279354692
1847160;1540296308409;0.33;8.16;64.425774;-4.8335550000000005;145.32;232.6660990401349;1021.61813847052
1847161;1540296309409;0.21;8.18;64.425774;-4.831059;145.67;234.09650540991063;1019.5410143798791
1847162;1540296310409;0.22;8.17;64.425774;-4.831059;146.75;235.51190751697905;1017.4549946837035
1847163;1540296311409;0.36;8.18;64.425774;-4.8335550000000005;148.9;236.8607907267883;1015.322273054126
1847164;1540296312409;0.26;8.24;64.14565999999999;-4.843542;149.64;238.15015702807477;1013.1395136400583
1847165;1540296313409;0.09;8.23;64.425774;-4.836052;150.11;239.4360223346377;1010.9500825182844
1847166;1540296314409;0.16;8.2;64.425774;-4.826065;151.87;240.6763747113942;1008.7406362844528
1847167;1540296315409;0.43;8.23;64.425774;-4.541445;154.54;241.81869923882417;1006.4811522637606
1847168;1540296316409;0.13;8.3;64.425774;-4.8335550000000005;153.86;242.91751140478496;1004.1771902130254
1847169;1540296317409;-0.1;8.26;64.425774;-4.8335550000000005;153.91;244.067338063613;1001.8887954715807
1847170;1540296318409;0.25;8.2;64.425774;-4.5364510000000005;157.4;245.12113744171842;999.5915051246012
1847171;1540296319409;0.36;8.25;64.425774;-4.541445;158.84;246.04940115599288;997.2330574826582
1847172;1540296320409;0.26;8.25;64.70587900000001;-4.8335550000000005;158.74;246.97066288073154;994.8601544831041
1847173;1540296321409;0.08;8.32;64.70587900000001;-4.828562000000002;159.0;247.89692602649106;992.4828036760422
1847174;1540296322409;-0.06;8.28;64.425774;-4.8335550000000005;159.85;248.81268618843538;990.0921094630486
1847175;1540296323409;0.14;8.34;64.425774;-4.541445;162.5;249.6479234744043;987.6736164778215
